SKU #,Picture,Description,Price,Materials,Title of Piece,Length/Weight
SW-81,SW81,"A necklace of sixty-one stone beads of various sizes, shapes and materials: agate, chalcedony, lapis lazuli and carnelian, some of which have been artificially patterned or “etched.” There are barrel shaped beads, tabular and spherical ones as well as some with irregular shapes. The tabular agate bead in the center of the necklace is 1.7 cm in diameter and 7.3 mm in thickness. The diameter of the drill hole is 2 mm. To either side of the center bead are two round carnelian beads 7 mm in diameter and then two barrel shaped carnelian beads that have been artificially patterned. They are around 1.5 cm in length and 8 mm in width at the center. Although they are known as “etched” carnelians, this is a misnomer that resulted from a misunderstanding of the patterning process. This is done by applying a strong alkaline substance (such as natron) mixed with a vegetable gum extracted from plants and then heating the bead until the applied design fuses with the stone matrix of the bead. This process was perfected by the Harrapan civilization over four thousand years ago. There was a second period of production two thousand years ago and third later during the Sassanian period in Persia after 525 A.D.
These seem to be from the middle period. The barrel bead that is a dirty white with black lines and a zigzag in the middle is the result of chemical interaction with alkaline soil. It would have originally been orange with white lines. After the small lapis lazuli spacer beads are two tabular artificially patterned carnelian beads 1.4 cm in diameter and 5 mm-6mm in thickness. The one to the left in the photograph has four triangles positioned to make a cross in the negative space between the triangles. It is probably from the middle period or about two thousand years old. On the other side is a tabular carnelian bead with six diamond shapes that all point towards the center forming a six pointed star. Although the pattern is found in middle period beads, there are reasons to believe it is from the late period (or no older than 1,500 years). The bead is slightly thicker and has a flat edge instead of the tapered edge; on this flat edge a white line has been applied. The drawing of the six pointed star is slightly irregular and tentative as opposed to the designs from the middle period. The barrel shaped carnelian beads, (1 cm – 1.2 cm in length, 8 mm in width, drill hole diameter 2 mm), each have four white lines that form longitudinal stripes. These are also middle period types. The necklace continues with tabular beads separated with smaller spacer beads and an occasional barrel bead. “Etched” carnelian beads should probably be referred to as “artificially patterned.” The bead to the left was altered from its original orange and white colors by exposure to alkaline soil which changed the orange to white and the white lines to a dark gray color. This is the same chemistry that is used to fuse the white lines into the stone beads, but occurring naturally over a long period of time. The necklace has a hand made clasp and beading tips made of Fine (999) silver.","$1,800.00","Agate, Chalcedony, Lapis Lazuli, Carnelian, Silver",,"The necklace is 23 3/8 inches (59 cm) in length.
The necklace weighs 52.5 gm."
SW-82,SW82,A necklace of eighty-six lapis lazuli beds alternating with with eighty-seven granulated silver beads. The lapis lazuli beads graduate in size from the front to the back of the necklace. The largest is 8.5 mm in length and 1 cm in width. The smallest is 3.5 mm in length and 4 mm in width. The diameters of the drill holes are 1.8 mm- 2 mm. The beads are slightly oblate; the beads are perceived to be round when strung on a cord together. This makes the strand look more solid. This feature of the beads has been utilized in the design of the necklace. Forty-six of the granulated silver beads have been made so that eight grains are arranged around an inner ring. This makes the spacer bead wider so that it perfectly fits in the space between the slightly shortened spheres. As the beads graduate to 5 mm it is unnecessary to use the inner ring and beads with six of the same size grains can be used to make the spacer beads. A silver clasp and beading tips completes the necklace. The beads are over two thousand years old. Lapis Lazuli was mined in Afghanistan since the early Bronze Age and was traded throughout the ancient world to as far away as ancient Egypt.,"$2,200.00","Lapis Lazuli, Silver",,"The necklace is 22 ½ inches (57.3 cm) in length.
The necklace weighs 40.5 gm."
SW-83,SW83,"A necklace of thirty-eight agate beads alternating with thirty-five lapis lazuli beads. Between each of the stone beads is a granulated silver bead. The black agate bead in the center is 1 cm in length, 1.13 cm in width and 8 mm in thickness, a flattened round shape. The drill hole diameter is 2.5 mm. To either side are two round agate beads, 6 mm in length, 8.5 mm in width with drill hold diameters of 1.8 mm. The beads have been affected by long exposure to alkaline soil which has caused some of the layers to take on an opaque white coloration in bands that were originally translucent. The necklace is designed to alternate agate and lapis beads and to alternate round beads with barrel shaped beads with a silver spacer bead between. This gives an alternating light and dark, long and short, regular pattern. As the the sizes of the beads decrease towards the back of the necklace, the round agates beads give way to agate barrel beads and the lapis beads become the short beads in the short/long alteration. These variations to the predictable pattern of the design are not immediately available to perception; the over all pattern appears to be unvarying. 
     The largest agate barrel bead is 1 cm in length, 7 mm in width and with a drill hold diameter of 2 mm. Most of the agate barrel beads are around 7mm in length and 5 mm in width, The lapis beads in the necklace vary in shape: there are round beads, rectangular solids, and barrel beads. The largest are 1 cm in length and 7.5 mm in width. The smallest are barrel beads 6.7 mm in length and 3.4 mm in width. 
    The beads are probably over two thousand years old and come from the Swat Valley in what is now northern Pakistan. Two thousand years ago, this was part of the Buddhist kingdom of Uddiyana. Uddiyana was of considerable strategic and commercial importance in the ancient world. Its fertile valleys, warm climate, and above all, its central position on the busy trade routes between Asia and the Mediterranean made it valuable territory to control. As a consequence, it suffered numerous conquests,with each conqueror leaving an imprint on the culture; the result was a cosmopolitan, multi-ethnic society which is reflected in the many types and materials of the beads that are found there. The seventy-two silver spacer beads are each composed of ten granules that have been fused together to form (when seen from the side) a five pointed star pattern. The beading tips and clasp are also hand made from fine (999) silver. ","$1,625.00","Agate, Lapis Lazuli, Silver",,"The necklace is 27 ½ inches (69.3 cm) in length.
The necklace weighs 46 gm."
SW-84,SW84,"A necklace of one hundred thirty-two round lapis lazuli beads alternating with one hundred thirty-one vermeil (gilt silver) granulated spacer beads. The lapis lazuli beads graduate in size to the back of the necklace. The center bead is 6.3 mm in length and 8 mm in width. The drill hole diameter is 2 mm. The smallest lapis bead is 3.2 mm in length and 3 mm in width. The drill hole diameter is 1 mm. The beads are slightly oblate and not true spheres. This is deliberately done to make the strands look less spindly when strung together on a cord. This is a very sophisticated manipulation of perception to fool the eye and make the beads look more substantial than they would if they were made to be true spheres. 
    The lapis lazuli beads are spaced with granulated beads formed by fusing five granules together to make a ring. There are one hundred thirty-one of these. The beading tips repeat the motif with granulation around the base. The clasp is a hook and eye. All the silver work has been gilded with 24k gold.","$3,000.00","Lapis Lazuli, Silver plated with 24k gold",,"The necklace is 27 ¼ inches (69 cm) in length.
The necklace weighs 30 gm."
SW-85,SW85,"A necklace of seventy-eight round agate beads with an agate barrel bead at the center. The center bead is 3.55 cm in length, 9 mm in width at the center and 4.5 mm in width at the ends. The drill hole diameter is 2mm. The round beads graduate in size to the back of the necklace. The largest is 7 mm in length, 7.3 mm in width and the drill hole is 1.3 mm in diameter. The smallest bead is 3 mm in length and 4.6 mm in width. Most of the beads are slightly oblate being wider than they are in length.
     The center bead is a flawless specimen with beautiful banding that includes clear white quartz, milky quartz, light brown and beige colors as well as dark brown and black. The round beads have been selected to match these colors with light and dark brown colors predominant.  There are two granulated silver beads to either side of the center bead. They are composed of ten grains fused to form a star pattern (when seen from the side). The hand made beading tips and hook and eye clasp are also made from pure silver (Fine 999). The beads are probably over two thousand years old and come from the Swat Valley in what is now northern Pakistan.","$3,000.00","Agate, Silver",,"The necklace is 19 ½ inches (45.9 cm) in length. 
The necklace weighs 30.5 gm."
SW-86,SW86,"A necklace of thirty agate barrel beads and twenty-seven agate pendant beads alternating with vermeil (gilt silver) granulated beads. The barrel beads and pendants graduate in size from the front to the back of the necklace. The largest barrel beads are 1 cm in length, 6.6 mm in width at the center and 4 cm in width at he ends. The drill hole diameter is 1.8 mm. The smallest is 8.2 mm in length, 5 mm in width at the center and 3 mm wide at the ends. The drill hole diameter is 1.5 mm. The largest pendant bead is 1.85 cm in height, 5.5 mm in width and 6 mm in thickness at the bottom. The pendant tapers at the top to 3.2 mm in width and 4 mm in thickness. The diameter of the drill hole is 1.5 mm. The smallest pendant is 9 mm in height, 3 mm in width and 3.4 mm in thickness. 
      The beads are black with some dark brown zones and banding and with parallel bands of thin white lines. The vermeil beads contrast with the black beads. These beads have been made by fusing fifteen grains into three rings of five each. The inner ring is made of grains that are nearly twice the size of the outer rings giving a bi cone shape. The beading tips repeat the motif. The clasp is a hook and eye. The beads are probably over two thousand years old and come from the Swat Valley of what is now northern Pakistan.","$3,330.00","Agate, Gold plated Silver",,"The necklace is 22 ½ inches (57.3 cm) in length.
The necklace weighs 35.5 gm. "
SW-87,SW87,"A necklace of forty-nine agate beads alternating with granulated silver bi cone beads. Forty-three of the agate beads are barrel beads and seven are pendants. The beads graduate in size from the front to the back of the necklace. The largest of the agate barrel beads is 9 mm in length, 5.9 mm in width at the center and 3.5 mm in width at the ends. The diameter of the drill hole is 2 mm. The smallest agate barrel bead is 4.5 mm in length and 3.5 mm in width. The diameter of the drill hole is 1 mm. The center pendant is 2 cm in height, 5 mm in width and 6 mm in thickness. There are very thin parallel white lines in the agate going from top to bottom. Some of the beads show whitening from prolonged exposure to alkaline soil. This results in a gray cast to the black agate layers and an opaque whitening to the clear and translucent quartz layers. There is some dark brown color in some of the layering in some of the beads. There are forty-eight granulated silver beads between each of the stone beads. These are also graduating in size to be consistent with the proportions of the agate beads. Each of these beads is composed of fifteen grains which have been fused together in three rings of five. The center grains are almost twice the size of the outer rings. A circlet of plain wire is a collar for the ends of these bi cone shaped beads. 
     The agate beads come from the Swat Valley in what is now northern Pakistan. Two thousand years ago, this was part of the Buddhist kingdom of Uddiyana. Uddiyana (“the Garden”) was of considerable strategic and commercial importance in the ancient world. Its fertile valleys, warm climate, and above all, its central position on the busy trade routes between Asia and the Mediterranean made it valuable territory to control. As a consequence, it suffered numerous conquests,with each conqueror leaving an imprint on the culture; the result was a cosmopolitan, multi-ethnic society which is reflected in the many types and materials of the beads that are found there. The clasp and beading tips are made from Fine (999) silver. The beading tips are cups with a stirrup attachment for the hook and eye clasp. The bottom is perforated for the cord to pass inside the cup where the knot is concealed. The hook and eye repeat the motif of the silver bi cone beads in the necklace.","$2,350.00","Agate, Silver",,"The necklace is 21 ¾ inches (55.5 cm) in length.
The necklace weighs 26 gm."
M-1,M1,"A necklace of nine carnelian tapered barrel beads alternating with eight 24k gold tubes each faced with a combination of short and long lapis lazuli beads. All the stone beads are spaced with granulated ring beads. The center carnelian tube bead is faced with two layer granulated gold ring beads.  Gold beading tips and a hook and eye clasp complete the necklace. The center carnelian bead is 2.5 cm in length and 6 mm in width at the center. The widths of the ends are 3.8 mm and the hole diameter is 2 mm. The carnelian tube to the left is 2.23 cm in length and 5 mm in width in the center. The end width is 4 mm and the hole diameter is 2.4 mm. The third carnelian bead back on the left is 1.9 cm in length and 5.5 mm wide at the center. The end width is 4.8 mm and the hole diameter is 2.8 mm. The forth carnelian bead to the back is 1.9 cm in length and is 5.4 mm wide at the center. The end widths are 4.3 mm and the hole diameter is 2 mm. The last carnelian bead 1.12 cm in length and 3.5 mm in width. The hole diameter is 1mm. The bead is square in cross section. The long carnelian bead to the right of the center is 2.3 mm in length and 5 mm in width at the center. The bead is only slightly tapered; the end width is 4.5 mm. The drill hole diameter is 2.5 mm. The next carnelian bead back on the right is similar to its opposite, 1.89 cm in length 5.5 mm in width at the center, the end width is 4.5 mm and the hole diameter is 2.8 mm. The next carnelian bead back on the right (second from the back) is 1.73 cm in length 5.3 mm in width at the center and 4.2 mm wide at the ends. The hole diameter is 2 mm. The last carnelian bead on the right is 1.1 mm in length, width at the center is 4.5 mm, width at the ends is 3 mm and the hole diameter is 2 mm.  The beads are about two thousand years old. There is some chipping on the surface, conchoidal fractures and some end wear. Seven of the carnelian beads share the same tapered barrel shape – one is a cylindrical long tube and the small bead to the back is a faceted  barrel shape. The sixteen lapis cylinder beads range from 7 mm to 5.5 mm in length with diameters of 4.8 mm to 3.3 mm. The drill hole diameters are 2.3 mm to 2 mm. The smaller lapis lazuli beads are 3 mm to 2 mm in length with diameters of 4.5 mm to 3 mm. The granulated ring beads also graduate in size from front to back – 3.8 mm in diameter to 2.8 mm. The gold tube beads are 8.5 mm in length and 3 mm in diameter. The gold is all 24k.","$5,450.00","Carnelian, Lapis Lazuli, 24k gold",,"The necklace is 20 7/8 inches (53 cm) in length.
The necklace weighs 52.7 gm."
M-2,M2,"A necklace of forty-four carnelian beads alternating with forty-three lapis lazuli beads, spaced with granulated ring beads of 24k gold. Gold beading tips and a hook and eye clasp complete the necklace. The carnelian beads are of an unusual form. Triangular in cross section, with tapered ends they give the appearance of being barrel beads until the flat sides reflect the light. They range in length from 7.5 mm to 5.6 mm and in width from 4.3 mm (end width 3.4 mm) to 3.5 mm wide at the center (end width 2.9 mm). The drill hole diameters are 1 mm. The color is deep and rich; there is whitening on some of the beads that occurs when exposed to alkaline soil for prolonged periods. The carnelian beads are probably from about two thousand years ago. The smaller lapis lazuli beads are various shapes: the center bead is 1.5 cm in length, 7 mm in width at the center, 3.5 mm wide at the ends and 4 mm in thickness. The drill hole diameter is 1.8 mm. The shorter beads range in length from 4.1 mm to 2 mm. They range in width from 4 mm to 3.5 mm. Most of the beads are short barrels, round or flattened spheres, but there are cornerless cube and short bicone shapes as well. The drill holes are typically around 2 mm. The gold ring beads are made of eight granules each and graduate in size from 4.2 mm to 3 mm. The beading tips are cylinders with one open end and the other end drilled so that the string can pass inside. The knots are hidden inside the cups. A stirrup shaped wire attaches to the sides to allow attachment of the hook and eye clasp.","$4,000.00","Carnelian, Lapis Lazuli, 24k gold",,"The necklace is 22 7/16 inches (57 cm) in length.
The necklace weighs 20.3 gm."
M-3,M3,"A necklace of thirty-five lapis lazuli beads spaced with 24k gold double layer granulated ring beads with a tabular sardonyx bead at the center. Gold beading tips and a hook and eye clasp complete the necklace. The sardonyx is carnelian veined with transparent and opaque white quartz. It is a Bronze Age bead from present day Afghanistan or Pakistan over four thousand years old. There is a much worn broken edge on the top. The bead has not been reground. The bead is 2.5 cm in length, the width is 2.63 cm, the thickness is 7.1 mm and the drill hole is 3 mm. The lapis beads are short cylinders with rounded edges 6.8 mm in length, 8 mm in diameter and drill holes of 2mm diameter to 4.2 mm in length, 5 mm in diameter (drill hole 2 mm). The gold ring beads also graduate in size from 6 mm diameter to 4 mm.","$7,900.00","Lapis Lazuli, Sardonyx, 24k gold",,"The necklace is 15 ½ inches (39.4 cm)in length.
The necklace weighs 47.5 gm."
M-4,M4,"A necklace alternating gold cylinder beads with tubes of lapis lazuli and carnelian with granulated gold spacers and short lapis and carnelian beads facing them. There are fourteen short and six long gold tube beads. There are seven long carnelian beads and fourteen small ones. There are fourteen long lapis lazuli beads and fourteen small. Forty-two granulated ring beads are used to separate the long and short beads of lapis and carnelian. Gold beading tips and a hook and eye clasp complete the necklace. The gold is 24k. The largest carnelian tube bead in the center of the necklace is 1.65 cm in length, 4.6 mm in width at  the center, and the end width is 3.3 mm. The drill hole diameter is 1.8 mm. It has whitening on its surface from exposure to alkaline soil and is probably about two thousand years old. The next carnelian tapered barrel bead back on the left side in the photograph is 1 cm in length 4.3 mm wide at the center, 3.3 mm in width at the ends and has a drill hole diameter of 2.3 mm. This bead appears to be from (size, form and drill hole indicate the earliest period) about four thousand years old. The next carnelian barrel bead back is 1 cm in length 4 mm wide at the center , 3 mm width at the ends and a drill hole diameter of 2.3 mm. This is very similar to the previous in size and form but the material is opaque jasper. The last bead is also jasper and is 7.5 mm in length, 4 mm wide at the center, 3 mm width at the ends and with a drill hole diameter of 2 mm. The smallest bead on the right: Length 8.5 mm, width at center 4 mm, width at ends 3.4 mm, hole diameter 2.3 mm. The material is jasper. The next to the last on the right- Length 9.8 mm, width at center 4 mm, width at ends 3 mm, hole diameter 2 mm. The material is jasper. The next carnelian barrel forward, Length 8.5 mm, width at center 5 mm – 3.2 mm (flattened and with surface chips), end widths 3.2 mm, hole diameter 1.8 mm. Carnelian with surface wear and chipping). The small carnelian beads are 3.2 mm in diameter and 2 mm in length, with hole diameters of 2 mm. The lapis lazuli tubes range in size from 1.15 cm in length to 5 mm. The diameters range from 4.1 mm to 3.1 mm. The hole diameters are large - 2.8 mm. The lapis beads have some whitening on their surface from burial. They appear to be Bronze Age beads as are most of the carnelian and jasper tapered barrels and the small carnelian beads.","$4,250.00","Carnelian, Lapis Lazuli, 24k gold",,"The necklace is 19 7/8 inches (50.5 cm) in length . 
The necklace weighs 21.1 gm."
M-7,M7,"A necklace of carnelian, lapis lazuli, turquoise and gold beads. A spoon shaped lapis lazuli bead faced with two gold bicone beads is at the center of the necklace. There are sixteen cylindrical gold tube beads alternating with modules of turquoise discs faced with carnelian, and carnelian and lapis lazuli cylinder beads spaced with pairs of granulated gold ring beads. A set of gold beading tips and a hook and eye clasp complete the necklace. The gold is 20k. The center lapis pendant bead is 1.22 cm in height and 1.09 cm wide. It is 4 mm in thickness and the drill hole diameter is 1.6 mm. There is an incised groove 9 mm in diameter that surrounds the concave center of the pendant bead which is not usually found on spoon pendant beads. The gold bicones are 4.5 mm in length and 4.2 mm in width. The lapis  and carnelian cylinder beads are 3.8 mm in diameter and 5 mm – 8.5 mm in length. The lapis beads have drill hole diameters of 2mm and the carnelian beads 1 mm. The carnelian beads show some whitening due to burial. The gold tube beads are 8 mm in length and 3 mm in diameter. The turquoise discs and the carnelian beads that face them are 3mm in diameter. The carnelian beads are 2 mm in length and have drill holes of 2mm. The turquoise discs are 1 mm in length and have drill holes of 2 mm. All the stone beads are ancient. The carnelian cylinder beads may be two thousand years old and the lapis and turquoise and small carnelian beads may be four thousand years old (based on form and drill hole diameters).","$3,250.00","Carnelian, Lapis Lazuli, Turquoise, 20k gold",,"The necklace is 18 1/8 inches (46 cm) in length.
The necklace weighs 15.5 gm."
M-8,M8,"A necklace of twenty five red jasper bicone beads, each faced with a pair of 20k gold bicone beads, alternating with groups of three turquoise disc beads. A set of gold beading tips and a hook and eye complete the necklace. The red jasper bicone beads range in size from 6.5 mm in length to 4 mm in length. The width at center on the largest bead is 6.3 mm. The smallest diameter is 3.5 mm. The drill hole diameters are 2 mm. The gold bicone beads also graduate in size: Largest bead length 6.5 mm, width 5.4 mm, smallest 4 mm length, width 3.5 mm. The turquoise disc beads are 3 mm in diameter and 1 mm – 1.5 mm in length. The drill hole diameter is 1 mm. The turquoise and jasper beads are Bronze Age from about four thousand years ago. The jasper beads show wear with some surface chipping. Two of the beads have chipping at the drill hole which would cause them to hang crooked. Gold tubes have been inserted into the holes to alleviate this.","$5,525.00","Red Jasper, Turquoise, 20k gold",,"The necklace is 18 3/8 inches (46.6 cm) in length.
The necklace weighs 13.5 gm."
M-9,M9,"A necklace of twelve gold cylinder beads each faced with a cylinder bead of lapis lazuli, alternating with twelve carnelian barrel beads faced with granulated gold beads and bordered on either side with another short carnelian bead faced with a granulated ring bead. There are fifty-two granulated ring beads in total. A carnelian drop pendant is at the center of the necklace. A set of gold beading tips and a hook and eye clasp complete the necklace. The gold is 20k. The carnelian drop is 1 cm in height.  It is 4.5 mm wide and the drill hole diameter is 2 mm. The carnelian barrel beads range in length from 8mm to 5 mm. The width at the center is 4mm – 3 mm. The drill hole diameters are 2 mm.  The smaller facing beads of carnelian are 4.5 mm in diameter – 3 mm. The length is 2.3 mm – 2 mm. The lapis tubes are 7 mm – 4 mm in length. They range from 3.9 mm in diameter to 3 mm. The drill holes are 2.3 mm in diameter. The gold tubes are 1 cm in length and 3 mm in diameter. The granulated ring beads graduate from 4.5 mm in diameter to 3.2 mm.","$5,700.00","Carnelian, Lapis Lazuli, 20k gold",,"The necklace is 20 7/8 inches (53 cm) in length.
The necklace weighs 20.9 gm."
M-10,M10,"A necklace of sixteen gold cylindrical collared tube beads alternating with cylindrical beads of lapis lazuli and carnelian. The lapis lazuli and carnelian beads alternate. Each stone bead is faced with two disc beads of the opposite color; the carnelian tube beads are faced with lapis lazuli disc beads and the lapis tubes are faced with carnelian discs. Each pair of facing beads is separated with a granulated gold ring bead, thirty-two in all. The seven carnelian tube beads are fitted with gold caps, the ends of which extend out from the cylinders to form collars. The center bead is 2.25 cm in length (including the caps) and 5 mm in diameter. The collars are 6.5 mm in diameter. The drill hole diameter is 2 mm.
The beads decrease in length and diameter towards the back of the necklace: Length 2.09 cm, diameter 4.5 mm,The carnelian disc beads are 2 mm in length and 3.5 mm in diameter with drill holes of 1.5 mm in diameter. The lapis lazuli beads are 1.2 cm to 1.78 cm in length and 4.5 mm in diameter. The diameters of the drill holes is 3mm. The small lapis beads are 3mm in length and 4 mm in diameter with drill holes of 2.8 mm. A set of beading tips and a hook and eye clasp complete the necklace. The cylinders that form the cups of the beading tips are also collared to match the gold caps on the carnelian tube beads. A stirrup of flattened wire is attached to the cylinder on its sides and curves around the open end. This forms the attachment loop for the clasp. The gold is 20k.","$7,900.00","Carnelian, Lapis Lazuli, 20k gold",,"The necklace is 28 3/8 inches (72 cm) in length.
The necklace weighs 40 gm."
M-11,M11,"A necklace of sixteen cylindrical gold tube beads alternating with cylindrical tube beads of lapis lazuli and tapered barrel beads carnelian. There is a gold capped tabular carnelian bead at the center of the necklace. The gold caps are collared with a border of wire surrounding the perforation. The ten lapis lazuli cylindrical tube beads are faced with small lapis disc beads that are separated by pairs of gold granulated ring beads, forty in all. The carnelian beads are each faced with a gold tube bead. A set of gold beading tips and a hook and eye clasp complete the necklace.
    The tabular carnelian bead is 1.9 cm in length, 1.8 cm in width at the center and 5 mm in thickness. The drill hole diameter is 3.5 mm. There is some minor chipping around the edge of the bead and on one face. It is very transparent and the drill holes can be seen to meet in the center of the bead. The tapered carnelian barrel beads range in size from 1.5 cm in length to 7.5 mm, the front four being 1.35 cm – 1.4 cm in length and 4.5 mm in diameter at the center. The end widths are 3mm and hole diameters are 2 mm. The carnelian barrel bead, second from the back, is 7.8 mm in length, 5 mm in width at the center and with end diameters of 3.5 mm, (hole diameter 2 mm). The bead opposite is 8 mm in length, 4.4 mm in width at the center, and with end diameters of 3.5 mm. The larger carnelian tube to the back is 1.25 cm in length, 3.8 mm in diameter and with a hole diameter of 2 mm. The smaller is 9.9 mm in length 3.9 mm in diameter and has a hole diameter of 2 mm. The lapis tube beads are 1.55 cm – 1.3 mm in length with diameters of 4.5 mm – 4 mm. The drill hole diameters are large – 2.5 mm. The pair of round beads facing the capped center bead are 3 mm in length and 4 mm in diameter. The granulated ring beads and the lapis disc beads are 4 mm in diameter. All the stone beads have large drill holes indicating an early date. The tabular carnelian bead in the center has a hole of 3.5 mm in diameter, certainly a Bronze Age bead from four thousand years ago. The lapis tubes and the carnelian tapered barrels may be slightly later Bronze Age beads. The red jasper bead to the left of the center in the photograph is notable.","$5,000.00","Carnelian, Lapis Lazuli, 20k gold",,"The necklace is 22 ¾ inches (57.8 cm) in length.
The necklace weighs 26 gm."
M-12,M12,"A necklace of thirty gold tubes alternating with lapis lazuli barrel beads faced with pairs of gold granulated ring beads, one hundred twenty-four in all. Each of the gold tubes is faced with a lapis disc bead. There is a pendant of lapis lazuli with an elongated tear drop shape with a notched bottom. A straight line groove extends from the notch straight up the front and back faces but stops at about the level of the perforation hole for suspension. The pendant is 1.4 cm in height and 7.2 mm in width at the widest point. It is 4.2 mm in thickness and the drill hole diameter is 1 mm. The lapis barrel beads range in size from 4.2 mm to 6 mm in length, and are 2.9 mm -3.2 mm in diameter. The disc beads are 3 mm – 3.8 m in diameter and 2 mm in length. The drill holes are 1 mm in diameter. The gold tubes are 7.5 mm in length and 2.5 mm in diameter as are the granulated ring beads. A set of gold beading tips and a hook and eye clasp complete the necklace. The gold is 20k. The symbolic meaning of the pendant is unknown. Various interpretations include a tooth, petals of a medicinal flower, and an insect, with the two wings folded and pointing down. There is a precedent in ancient Egypt. A mark of rank was the Order of the golden Fly, which first makes its appearance during the early New Kingdom under increased influence from Asia. This award, which was of military significance was given particularly for valor. The fly pendants of ancient Egypt were made of gold and not of stone, but the idea may be similar. Pendants of this form have also been reported made from agate and of a larger scale.","$5,900.00","Lapis Lazuli, 20k gold",,"The necklace is 25 ¼ inches (64.1 cm) in length.
The necklace weighs 19 gm."
M-13*,M13* not full pic,"A necklace of eleven tapered agate barrel beads alternating with twelve cylindrical tube beads of lapis lazuli. These are separated by twenty-two double layer granulated gold beads. A set of gold granulated beading tips and a hook and eye clasp complete the necklace. The gold is 20k. All the agate beads have the same banding pattern: bright orange carnelian ends and clear transparent and opaque white quartz in the center zone. These eleven beads are the same type found in the bead cloak of Queen Pu-abi, now in the British Museum. They are Sumerian, from about 2500 BC. Sir Charles L. Woolley in his excavations at Ur in Mesopotamia (1922-34) uncovered in shaft graves in the royal cemetery the jewelry of Queen Pu-abi (along with her body and the bodies and jewelry of many male and female attendants). The cylindrical tube beads of lapis lazuli range in size from 1 cm to 1.3 cm in length and 3.5 mm to 5 mm in diameter.  The hole diameters are 2.4 mm.  The large drill holes and the straight sided form of the cylinders makes it very likely that these are also from the same time period, circa 2500 BC. The double layers granulated ring beads are of three sizes: 5 mm (ten), 4.1 mm (eight), and 3.8 mm (eight). The beading tips are also granulated with a circlet of flattened wire attached to the larger ring to form an attachment loop for the hook and eye clasp. The clasp is flattened on the end and rolled up to form a lip, the space behind the lip filled with a line of five very small grains.","$26,000.00","Agate, Lapis Lazuli, 20k gold",,"The necklace is 18 7/8 inches (48 cm) in length.
The necklace weighs 31.4 gm."
M-14,M14,"A necklace of forty-two round lapis lazuli beads spaced with forty-two two layer gold granulated ring beads with a faceted rock crystal tapered barrel bead with hexagonal cross section at the center. A set of granulated gold beading tips and a hook and eye clasp completes the necklace. The gold is 24k. The spherical lapis lazuli beads are 9 mm-5 mm in diameter and graduate in size towards the back of the necklace. The diameter of the drill holes is 2mm. The quartz bead is 2.4 cm in length, 1.46 cm in width at the center at the widest point and 1.25 cm in width measuring across the flat faces. The end widths are 5 mm and the hole diameter is 2.5 mm. The granulated gold beads are 5 mm in diameter. The beading tips are made from two layers of granulated ring beads of two sizes, the larger stacked on top of the smaller with two flattened grains attached to the rim of the resulting cup form. A circlet of flattened wire attaches onto the two discs forming a loop which becomes the attachment for the hook and eye clasp. The tongue of the hook is flattened and rolled back on itself at the end. Five very small granules form a line behind the lip. The quartz in the rock crystal beads is completely transparent allowing the drill hole to be clearly seen through the sides of the beads. Two holes were drilled from either end and meet just slightly beyond the midpoint. There is a satin finish to the surface, the result of many years of wear. The bead is Bronze Age and is about four thousand years old and comes from what is now present day Afghanistan and Pakistan.","$8,000.00","Lapis Lazuli, Rock Crystal, 24k gold",,"The necklace is 19 ½ inches (49.5 cm) in length.
The necklace weighs 63.5 gm."
